Hotel Name,Location,Price,Rating,Review Count,Room Type,Bed Info,Free Cancellation,Private Bathroom,No Prepayment,Breakfast Included
La Richy Jeddah لاريتشي جدة للشقق الفندقية,Jeddah,AUD 137,Scored 8.88.8Fabulous506 reviews,Scored 8.8,1 bathroom,1 bedroom,YES,NO,YES,YES
Rafa - Al Nuzhah,Riyadh,AUD 236,"Scored 8.58.5Very good1,366 reviews",Scored 8.5,N/A,N/A,YES,NO,YES,NO
Elegant studio - COZY apt,Riyadh,AUD 250,Scored 8.98.9Fabulous22 reviews,Scored 8.9,N/A,N/A,NO,YES,NO,NO
Touq Balad,Jeddah,AUD 169,Scored 8.58.5Very good746 reviews,Scored 8.5,N/A,N/A,YES,NO,YES,NO
Rafa Homes,Riyadh,AUD 148,Scored 7.87.8Good812 reviews,Scored 7.8,N/A,N/A,YES,NO,YES,NO
فندق فلافور Flavor Hotel,Al Madinah,AUD 158,Scored 8.18.1Very good563 reviews,Scored 8.1,N/A,N/A,YES,NO,YES,NO
شقق ماي هوم 2,Al Madinah,"AUD 1,945",Scored 8.68.6Fabulous38 reviews,Scored 8.6,1 bathroom,N/A,YES,NO,YES,NO
Golden Bujari Hotel Al Khobar,"Al Aqrabeyah, Al Khobar",AUD 222,"Scored 6.76.7Review score2,254 reviews",Scored 6.7,N/A,N/A,YES,NO,YES,NO
هذا منزلي فرع الربوة,Al Madinah,AUD 156,Scored 9.09.0Superb78 reviews,Scored 9.0,1 bathroom,N/A,YES,NO,YES,NO
Rasis Furnished Apartments,Jeddah,AUD 880,"Scored 8.28.2Very good6,521 reviews",Scored 8.2,1 bathroom,2 bedrooms,YES,NO,YES,NO
Tamaya Alkhobar,"Al Aqrabeyah, Al Khobar",AUD 218,"Scored 7.97.9Good1,357 reviews",Scored 7.9,1 bathroom,1 bedroom,YES,NO,YES,NO
Kease Mughrizat - Royal touch,Riyadh,AUD 472,Scored 7.27.2Good14 reviews,Scored 7.2,3 bathrooms,3 bedrooms,NO,NO,NO,NO
Radisson Blu Plaza Jeddah,Jeddah,AUD 202,"Scored 7.97.9Good1,953 reviews",Scored 7.9,N/A,N/A,YES,NO,YES,NO
Doyof Hotel فندق ضيوف,Al Madinah,AUD 120,Scored 9.59.5Exceptional107 reviews,Scored 9.5,N/A,N/A,YES,NO,YES,NO
Dyar Sultana - 10 Mins Drive to Al Masjed Al Nabwi,Sulţānah,AUD 134,Scored 7.87.8Good141 reviews,Scored 7.8,1 bathroom,1 bedroom,YES,NO,YES,NO
Florida Inn Hotel,Najran,AUD 124,Scored 8.28.2Very good949 reviews,Scored 8.2,1 bathroom,1 bedroom,YES,NO,YES,YES
Msharef Almoden hotel,Riyadh,AUD 453,"Scored 9.49.4Superb1,605 reviews",Scored 9.4,N/A,N/A,NO,NO,NO,NO
Shaty Alhayat Hotel Suites,"Hera Street, Jeddah (Hera Street)",AUD 370,"Scored 8.58.5Very good2,167 reviews",Scored 8.5,1 bathroom,N/A,YES,NO,YES,NO
Kease Ar Rabi - Royal Touch,Riyadh,AUD 409,Scored 7.97.9Good13 reviews,Scored 7.9,1 bathroom,1 bedroom,NO,NO,NO,NO
Park House,"Al Worood, Riyadh",AUD 341,Scored 8.58.5Very good705 reviews,Scored 8.5,1 bathroom,2 bedrooms,YES,NO,YES,NO
فندق ارجان بارك الشفا Arjan Park Hotel,"Al Shifa , Riyadh",AUD 201,Scored 8.68.6Fabulous140 reviews,Scored 8.6,N/A,N/A,YES,NO,YES,NO
Swiss Blue,Jazan,AUD 312,Scored 8.98.9Fabulous526 reviews,Scored 8.9,1 bathroom,2 bedrooms,YES,NO,YES,NO
Ayan Hotel,Riyadh,AUD 222,"Scored 8.08.0Very good2,998 reviews",Scored 8.0,N/A,N/A,YES,NO,YES,NO
Erfad Hotel - Riyadh,Riyadh,AUD 393,"Scored 8.88.8Fabulous1,692 reviews",Scored 8.8,N/A,N/A,YES,NO,YES,YES
Ascott Corniche Al Khobar,"Al Yarmouk, Al Khobar",AUD 346,"Scored 8.58.5Very good2,965 reviews",Scored 8.5,1 bathroom,1 bedroom,YES,NO,NO,NO
Al Ertiqaa Hotel,"Hera Street, Jeddah (Hera Street)",AUD 416,"Scored 8.98.9Fabulous2,268 reviews",Scored 8.9,2 bathrooms,2 bedrooms,YES,NO,YES,NO
